Brochure_Path,MCB_Type,Model_Number,Certifications,Image_Download_Status,Operating_Temperature,Product_Life,Brochure_Download_Status,Abrasion_Resistance,Trip_Curve,Application,Number_of_Blades,Poles,Copper_Grade,Sweep_Size,Air_Delivery,Motor_Winding,Specifications,Product_Type,IP_Rating,Product_Series,Moisture_Resistance,Price,Wattage,Brand,Color,Standards,Heat_Resistance,Blade_Material,Fire_Safety,Body_Material,Name,Voltage,Conductor_Type,Short_Description,Benefits,Full_Description,Image_Path,Insulation_Type,Type,Current_Carrying_Capacity,Power_Consumption,Size_Sq_MM,Amperage,Eco_Certifications,Contact_Material,RPM,Breaking_Capacity,Module,Mounting_Type,Voltage_Rating,Sensitivity,BEE_Rating,Product_URL,Technology,GenCurrentRating,Warranty,Key_Features,Length
https://neptuneindia.com/wp-content/uploads/files/db_11651_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
111
EAN/pcs
4024941001113
Amperage
16A
Poles
3P (2P+PE)
Earth ‘Clock’ Position
6h
Voltage
200 upto 250V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44):16/20 Amp 3 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/11651.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-111/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_11651_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
11651
EAN/pcs
4024941116510
Amperage
32A
Poles
3P (2P+PE)
Earth ‘Clock’ Position
6h
Voltage
200 upto 250V
Frequency
50 and 60Hz
Protection
IP44
Membership
screw terminal
Connection design
screw terminal
Cable entry
top entry M25
Max. conductor
10.0 mm²
Packaging
92×94 mm (HxW)
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 32 Amp 3 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/11651.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-11651/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_1104_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
1104
EAN/pcs
4024941011044
Amperage
63A
Poles
3P (2P+PE)
Earth ‘Clock’ Position
6h
Voltage
200 upto 250V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 63 Amp 3 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/1104.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-1104/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_11645_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
NEPTUNE BALS No
11645
EAN/pcs
4024941116459
Amperage
16A
Poles
4p (3P+PE)
Earth ‘Clock’ Position
6 h
Voltage
380 up to 415V
Frequency
50 and 60Hz
Protection
IP44
Membership
screw terminal
Connection design
screw terminal
Cable entry
top entry M25
Max. conductor
4.0 mm²
Packaging
90×87 mm (HxW)",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 16/20 Amp 4 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/Socket-Outlet.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-11645/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_11646_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
11646
EAN/pcs
4024941116466
Amperage
32A
Poles
4P (3P+PE)
Earth ‘Clock’ Position
6h
Voltage
380 up to 415V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 32 Amp 4 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/Socket-Outlet.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-11646/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_1127_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
1127
EAN/pcs
4024941011273
Amperage
63A
Poles
4P (3P+PE)
Earth ‘Clock’ Position
6h
Voltage
380 up to 415V
Frequency
50 and 60Hz
Protection
IP44
Membership
screw terminal
Connection design
screw terminal as box terminal with Kontex-contact
Cable entry
top entry M40 bottom entry M32
Max. conductor
25.0 mm²
Packaging
170×118 mm (HxW)
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 63 Amp 4 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/1127.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-1127/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_100_en%20(1).pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
100
EAN/pcs
4024941001007
Amperage
16A
Poles
5p (3p+N+PE)
Earth ‘Clock’ Position
6h
Voltage
200/346 up to 240/415V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 16/20 Amp 5 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/100.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-100/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_101_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
101
EAN/pcs
4024941001014
Amperage
32A
Poles
5P (3p+N+PE)
Earth ‘Clock’ Position
6h
Voltage
200/346 up to 240/415V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 32 Amp 5 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/101.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-101/,,,,,
https://neptuneindia.com/wp-content/uploads/files/1124_ip_44_surface_mounting_5_pole.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
1124
EAN/pcs
4024941011242
Amperage
63A
Poles
5P (3p+N+PE)
Earth ‘Clock’ Position
6h
Voltage
200/346 up to 240/415V
Frequency
50 and 60Hz
Protection
IP44
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-44): 63 Amp 5 Pin,,,Surface Mounting Socket Outlet IP44,,,https://www.neptuneindia.com/wp-content/uploads/ip_44_surface_mounting.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-1124/,,,,,
https://neptuneindia.com/wp-content/uploads/files/db_1133_en.pdf,,,,Downloaded,,,Downloaded,,,,,,,,,,"Description
#
Details
NEPTUNE
BALS No
1133
EAN/pcs
4024941011334
Amperage
16A
Poles
3P (2P+PE)
Earth ‘Clock’ Position
6h
Voltage
200 upto 250V
Frequency
50 and 60Hz
Protection
IP67
Surface Mounting Socket Outlet",Industrial Plug & Sockets(140) > Surface Mounting(13),,,,,,Neptune India,,,,,,,Socket Outlet (IP-67): 16/20 Amp 3 Pin,,,Surface Mounting Socket Outlet IP67,,,https://www.neptuneindia.com/wp-content/uploads/1133.jpg,,,,,,,,,,,,,,,,https://www.neptuneindia.com/product/article-no-1133/,,,,,
